round,loss,acc,clients_per_round,local_epochs,tag
1,2.3033623695373535,0.07782100886106491,5,1,C5_E1
2,2.3027000427246094,0.09381237626075745,5,1,C5_E1
3,2.3032472133636475,0.08829174935817719,5,1,C5_E1
4,2.3034443855285645,0.08986615389585495,5,1,C5_E1
5,2.3030848503112793,0.07706766575574875,5,1,C5_E1
6,2.3033101558685303,0.10325048118829727,5,1,C5_E1
7,2.3031084537506104,0.08348457515239716,5,1,C5_E1
8,2.3028862476348877,0.0859728530049324,5,1,C5_E1
9,2.3030407428741455,0.07858546078205109,5,1,C5_E1
10,2.302704334259033,0.08988764137029648,5,1,C5_E1
11,2.3033390045166016,0.08442776650190353,5,1,C5_E1
12,2.3023324012756348,0.10683760792016983,5,1,C5_E1
13,2.3029701709747314,0.10246679186820984,5,1,C5_E1
14,2.3027772903442383,0.10695187002420425,5,1,C5_E1
15,2.303114414215088,0.09461966902017593,5,1,C5_E1
16,2.3025758266448975,0.10940919071435928,5,1,C5_E1
17,2.3031551837921143,0.0907372385263443,5,1,C5_E1
18,2.3031301498413086,0.08586762100458145,5,1,C5_E1
19,2.302480936050415,0.11157894879579544,5,1,C5_E1
20,2.302124500274658,0.12291666865348816,5,1,C5_E1
1,2.303177833557129,0.07807807624340057,20,1,C20_E1
2,2.302891969680786,0.08598228543996811,20,1,C20_E1
3,2.3029139041900635,0.08799593150615692,20,1,C20_E1
4,2.303053140640259,0.08813219517469406,20,1,C20_E1
5,2.3029274940490723,0.10423769801855087,20,1,C20_E1
6,2.302847146987915,0.1066666692495346,20,1,C20_E1
7,2.302967071533203,0.10590531677007675,20,1,C20_E1
8,2.3028736114501953,0.10652591288089752,20,1,C20_E1
9,2.3029325008392334,0.104975126683712,20,1,C20_E1
10,2.30279803276062,0.10985221713781357,20,1,C20_E1
11,2.302854061126709,0.10942843556404114,20,1,C20_E1
12,2.3027169704437256,0.10883054882287979,20,1,C20_E1
13,2.3026106357574463,0.11297271400690079,20,1,C20_E1
14,2.302814245223999,0.10833749175071716,20,1,C20_E1
15,2.3027384281158447,0.10851975530385971,20,1,C20_E1
16,2.302783727645874,0.10367577522993088,20,1,C20_E1
17,2.302140712738037,0.12364200502634048,20,1,C20_E1
18,2.3023769855499268,0.1129196360707283,20,1,C20_E1
19,2.30263614654541,0.11121764034032822,20,1,C20_E1
20,2.302771806716919,0.10009578615427017,20,1,C20_E1
1,2.301565170288086,0.10526315867900848,5,5,C5_E5
2,2.301513671875,0.10621242225170135,5,5,C5_E5
3,2.303175210952759,0.09834862500429153,5,5,C5_E5
4,2.301752805709839,0.11314740777015686,5,5,C5_E5
5,2.2987496852874756,0.14462152123451233,5,5,C5_E5
6,2.3005549907684326,0.11434511095285416,5,5,C5_E5
7,2.3020763397216797,0.10961538553237915,5,5,C5_E5
8,2.301879405975342,0.10984848439693451,5,5,C5_E5
9,2.299196243286133,0.1177453026175499,5,5,C5_E5
10,2.3003714084625244,0.12007874250411987,5,5,C5_E5
11,2.302290678024292,0.11264821887016296,5,5,C5_E5
12,2.300490379333496,0.11148776113986969,5,5,C5_E5
13,2.3019421100616455,0.11401869356632233,5,5,C5_E5
14,2.302778959274292,0.10545454174280167,5,5,C5_E5
15,2.3009190559387207,0.12037037312984467,5,5,C5_E5
16,2.29934024810791,0.1292775720357895,5,5,C5_E5
17,2.301835536956787,0.10679611563682556,5,5,C5_E5
18,2.301854133605957,0.1070745661854744,5,5,C5_E5
19,2.2990965843200684,0.13411764800548553,5,5,C5_E5
20,2.292264223098755,0.16091954708099365,5,5,C5_E5
1,2.302002429962158,0.1058470755815506,20,5,C20_E5
2,2.302058696746826,0.10830800235271454,20,5,C20_E5
3,2.3017046451568604,0.1073877364397049,20,5,C20_E5
4,2.3015310764312744,0.10910911113023758,20,5,C20_E5
5,2.3021962642669678,0.10244140774011612,20,5,C20_E5
6,2.3007702827453613,0.1176103875041008,20,5,C20_E5
7,2.301382064819336,0.11169354617595673,20,5,C20_E5
8,2.3008604049682617,0.11310824006795883,20,5,C20_E5
9,2.301271677017212,0.11385803669691086,20,5,C20_E5
10,2.3000969886779785,0.11839837580919266,20,5,C20_E5
11,2.301462173461914,0.10620347410440445,20,5,C20_E5
12,2.3016440868377686,0.11173933744430542,20,5,C20_E5
13,2.3006579875946045,0.11625063419342041,20,5,C20_E5
14,2.3019986152648926,0.11177033185958862,20,5,C20_E5
15,2.3007569313049316,0.11255627870559692,20,5,C20_E5
16,2.2992351055145264,0.11568627506494522,20,5,C20_E5
17,2.3009040355682373,0.11555555462837219,20,5,C20_E5
18,2.3005518913269043,0.11484257876873016,20,5,C20_E5
19,2.3012278079986572,0.11132717877626419,20,5,C20_E5
20,2.3010001182556152,0.10982188582420349,20,5,C20_E5
